timestamp_utc,agent_name,mean_score,std_score,runs,max_steps,scaling_factor,arena_size,wall_obstacles,difficulty,box_speed
2026-03-15T05:23:40.325105+00:00,agent_template,-16187.500000,2050.342959,10,1000,5,500,0,0,2
2026-03-15T05:26:11.113973+00:00,agent_template,-16187.500000,2050.342959,10,1000,5,500,0,0,2
2026-03-15T05:34:56.898043+00:00,agent_template,-16187.500000,2050.342959,10,1000,5,500,0,0,2
2026-03-15T06:48:26.798068+00:00,agent_template,-16197.000000,2007.605190,10,1000,5,500,0,0,2
2026-03-15T08:51:02.979467+00:00,agent_template,-1200.400000,6974.063481,10,1000,5,500,0,0,2
2026-03-15T09:50:56.796532+00:00,agent_template,-3138.800000,8566.547785,10,1000,5,500,0,0,2
2026-03-15T09:51:26.613774+00:00,agent_template,-2261.700000,10093.156633,10,1000,5,500,0,0,2
